original_index,review_text,polarity,rating,kfold_polarity,kfold_rating
4825,Produto chegou com risco e manchado.,0.0,1,1,1
45947,O produto que recebi não é da cor que comprei. Já solicitei devolução.,,3,-1,1
23016,"Chegou antes do prazo final, muito bom!",1.0,5,1,1
78245,"Entregaram em um prazo incrível , comprei no Sábado , segunda esta em casa, muito surpreendente , parabéns , recomendo a todos .",1.0,5,1,1
734,"Obrigada, chegou mto rápido",1.0,5,1,1
21316,so recebi um falta dois jogos ainda,0.0,1,1,1
25878,"Recomendo, bom produto e chegou antes do prazo estabelecido.",1.0,5,1,1
88581,Produto chegou antes do prazo,1.0,5,1,1
17001,Eu recomendo muito bom estou satisfeita,1.0,5,1,1
91147,"Produto corresponde ao descrito, é ótimo!",1.0,5,1,1
90339,Infelizmente ainda não recebi a mercadoria,0.0,2,1,1
95766,"Excelente produto, chegou antes do que eu imaginava!",1.0,5,1,1
93016,acredito que seja problema nos correios,0.0,2,1,1
74517,ótimo produto e entregue dentro do prazo,1.0,4,1,1
66639,O carrinho não foi entregue só a boneca. Qdo bem???,0.0,1,1,1
13489,Um ótimo produto!,1.0,5,1,1
71636,Bom esperar o resultado,0.0,2,1,1
61181,Recomendo,1.0,5,1,1
14231,Super recomendo; entregraram no tempo certo !,1.0,5,1,1
75258,"achei o prazo da entrega um pouco demorado...contudo, suponhoo que a greve dos caminhoneiros deva ter afetado de alguma forma...",,3,-1,1
84208,Produto excelente fiquei muito satisfeito.,1.0,5,1,1
30212,"Recebi tudo certo! Entregue antes do prazo. 
",1.0,5,1,1
81329,"Foi tudo correto , acompanhamento da entrega ,servico eficiente ",1.0,5,1,1
84958,O produto é desproporcional e de péssima qualidade. Não acredito que uma instituição com um nome desses se queime por tão pouco. Só não entro com pedido de devolução pra evitar desgastes.,0.0,1,1,1
68919,Entrega de prazo,1.0,5,1,1
91446,"Entrega rápida, até mesmo antes do prazo estipulado.",1.0,5,1,1
59588,Produto chegou no prazo e correto,1.0,5,1,1
88446,"Venho expressar a minha grande insatisfação pela loja e vendedor do produto.
Comprei o produto a mais de um mês e não recebi, o mesmo ficou de entrar em contato comigo e não me respondeu. ",0.0,1,1,1
23478,Excelente na compra no pagamento do boleto bancario e na entrega obrigada,1.0,5,1,1
62930,Entrega no prazo. Produto correto. Perfeito!!,1.0,5,1,1
87218,"Ótimo antedimento, como sempre",1.0,5,1,1
92506,Entregue bem antes do prazo.,1.0,5,1,1
72251,Produto chegou antes do esperado e é de boa qualidade. Super gostei.,1.0,5,1,1
83852,A luminária é muito bonita e possui boa vedação contra chuva e insetos. Agora só falta eu instalar na minha área para torná-la mais bonita graças a esse adereço.,1.0,4,1,1
49530,"Tive que ir aos correios para retirar meu produto, sendo que paguei o frete de R$ 7,52, os quais requeiro o seu reembolso, como medida da mais lídima justiça!",,3,-1,1
61367,"comprei uma bateria 12v xb 1270 e recebi uma xb 12AL, de amperagem menor que a efetivamente comprada.",0.0,1,1,1
37727,"Comprei o produto mais não foi entregue, toda vez que entro em contato me garantem um retorno de 48 horas de 1 dia mais nunca retornam a entrega ja esta 14 dias em atraso.",0.0,1,1,1
98662,otima,1.0,5,1,1
30708,Muito rápida a entrega.,1.0,5,1,1
49804,Ótimo o prazo de entrega,1.0,5,1,1
84732,"O produto não chegou e nem tem um código rasteador para que eu possa verificar o status da entrega, o prazo já passou e nada.",0.0,1,1,1
3387,Muito bonito!!!! Satisfeita com o material!!!,1.0,5,1,1
90251,"Mito boa a caixa de som, ela superou minhas expectativas.
Recomendo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",1.0,5,1,1
23594,"Recebi no prazo, e a mercadoria sem defeito.",1.0,4,1,1
99019,Estou no aguardo,0.0,1,1,1
65061,"Infelizmente estou tentando, entrar em contato com a central de atendimento e não consigo. Não recebi o meu produto e também não tive nenhum retorno do status.",0.0,1,1,1
62481,Devido a greve dos caminhoneiros o produto ainda não foi entregue.,1.0,4,1,1
21678,"Realizei a compra de 2 colchas de solteiro e só recebi 1 produto.
E até agora não recebi a outra colcha.",0.0,1,1,1
83680,GOSTEI MUITO DO PRODUTO,1.0,4,1,1
91935,Gostei da compra indicaria 👍,1.0,5,1,1
17997,"Novo, lacrado, otimo atendimento, recomendo",1.0,5,1,1
28722,Não recebi o espremedor,1.0,4,1,1
44379,Super recomendo,1.0,5,1,1
5706,produto entregue antes da data,1.0,5,1,1
66293,Tudo certo com a entrega e o produto é de boa qualidade,1.0,4,1,1
77165,Continuem assim,1.0,5,1,1
3706,"Incrível trabalho que foi feita, produto entregue muito rápido, em uma semana já estava na minha casa, recomendo a todos, vale a pena.",1.0,5,1,1
27100,Não veio do jeito que eu queria mas deu certo,,3,-1,1
27142,"Produto conforme anuncio, chegou antes do prazo.",1.0,5,1,1
36860,Eu não recebi o peoduto,0.0,1,1,1
79665,O prazo de entrega determinado pela lj é mto grande,1.0,5,1,1
57405,Solicitei o reenvio da mercadoria para outro endereço já entrei em contato pelo telefone passando os dados no dia 15/02/18 espero que seja atendida a minha solicitação .,0.0,1,1,1
99005,MUITO BOM...,1.0,5,1,1
70615,"Se o produto não chegou, como pode ser obrigatório o preenchimento da avaliação geral ou se eu recomendo a loja?! Piada né?!",0.0,1,1,1
86008,Estão de parabéns pelo atendimento.,1.0,5,1,1
99779,"Produto muito bom, mercadoria recebida, foi a escolhida. Recomendo.",1.0,5,1,1
60763,"Produto bom, conforme o preço,........................",,3,-1,1
18280,Entregou no prazo.,1.0,4,1,1
17459,"Produto excelente e entrega feita muiiiito antes do prazo!
",1.0,5,1,1
96491,O produto veio com defeito! Espero que não demore muito a troca pois foi comprada para presentear!,0.0,2,1,1
17616,"Comprei duas unidades, mas na embalagem veio apenas uma, quero saber o que houve, pois paguei dois e recebi apenas um.",0.0,2,1,1
42315,"Comprei dois rolos de cabo 10 mm, um verde e outro azul. Recebi apenas o rolo de cabo verde. Continuo aguardando a entrega do outro.",1.0,5,1,1
25415,"Excelente loja. Sempre que posso, faço minhas compras aqui.",1.0,4,1,1
4175,"Comprei 3 plafons de led, 2 ralos inteligentes e 2 luminarias. Um dos ralos veio quebrado, comprometendo a funcionalidade do mesmo, e as 2 luminárias simplesmente não foram entregues. E ate agora nada",0.0,1,1,1
55556,Excelente produto.,1.0,4,1,1
56070,recomendo pra todos,1.0,5,1,1
47804,"Muito boa, recomendo",1.0,4,1,1
38489,"Tudo dentro do prazo estabelecido.

",1.0,5,1,1
34679,Tudo ótimo sem reclamações. Obrigada,1.0,5,1,1
34743,"Muito insatisfeita!!!O produto que foi entregue não era o mesmo que pedi!
Propaganda enganosa,decepcionada com a parceira do site stark!!! Tentei resolver por email,e até agora não obtive respost",0.0,1,1,1
99827,Estou desde dezembro aguardando o produto e ainda não recebi.Decepcionada com a Americana pois além do atraso dei de presente uma pista de água que não cumpre com a propaganda. Atrasar minha encomend,0.0,1,1,1
51847,"O fornecedor é confiavel e recebi meu produto conforme prometido, sòmente o período de espera para o recebimento foi longo, mas não comprometeu a confiança do cliente.",1.0,4,1,1
30311,"Vocês estão de parabéns, entregar muito rápido muito satifeita obrigado ",1.0,5,1,1
94225,Não posso avaliar se não entregaram ainda,,3,-1,1
38377,Bom,1.0,4,1,1
65185,"Infelizmente não recebi o produto, então cancelei a compra.",0.0,1,1,1
42544,Muito Bom. Chegou direitinho. Recomendo!,1.0,4,1,1
14191,"Esse produto veio certo ,mas já fiz compra anterior que tive que cancelar o pedido pois já estava com atraso de um mês na entrega.
",0.0,2,1,1
16235,Produto ja era pra ter chegado dia 04/01 e ate hoje nada. UM gramde absurdo .QUERO QUE SEJA TOMADO PROVIDENCIAS URGENTES,0.0,1,1,1
17056,Produto como descrito no anúncio.,1.0,5,1,1
12500,quanto tempo mais de espera?,0.0,1,1,1
85446,"Mercadoria não foi entregue, lamentável!!!!!",0.0,1,1,1
19147,"Produto de má qualidade, nada a ver com a foto, não recomendo, pior compra q/ fiz no stark, nunca tive problemas antes dessa compra horrível, não devolvo pq ñ tenho de correr atrás disso.",0.0,1,1,1
71274,Otimo,1.0,5,1,1
74604,adorei comprar na stark . O site é mais do que ótimo!,1.0,5,1,1
30443,Recebiemdo o produto no prazo produtos de Qualidade eu recom,1.0,4,1,1
1799,Recomendo... chegou dentro do prazo.,1.0,5,1,1
10167,produto entregue no prazo e de ótima qualidade.,1.0,5,1,1
36850,comprei um capacete Taurus zareef v3 branco número 58 porém me mandaram um kit de pistão para cg 150 erro grosseiro por parte da loja espero que resolvam logo esse problema pois o capacete é presente,0.0,1,1,1
626,"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.",0.0,1,1,1
45225,recebi o produto conforme eu pedi ...muito obrigado...,1.0,5,1,1
52926,"Informo que até o presente momento não recebi a compra do dia 20/02 com prazo para entrega no dia 21/03. Informo ainda que me sinto extremamente lesado, tendo em vista que o mesmo serviria de presente",0.0,1,1,1
85814,NENHUMA ESCLARECIMENTO SOBRE ATRASO DA ENTREGA.,0.0,1,1,1
35496,BOM,1.0,5,1,1
13557,Espero que entregue o jogo de toalha que não veio,0.0,2,1,1
41271,"Perfeita essa cuba, estou apaixonada por ela! A torneira também é linda!!! ",1.0,5,1,1
35592,Comprei na sexta entregou na segunda,,3,-1,1
95538,S,1.0,4,1,1
27756,Produto ...bom..como eu esperava..com o no anúncio,0.0,1,1,1
6461,Chegou dentro do prazo.,1.0,5,1,1
48283,"O lustre veio totalmente quebrado, o vidro chegou todo estraçalhando",0.0,1,1,1
67035,"Minha namorado gostou demais, leve e bonito e fácil de ajustar.",1.0,5,1,1
24676,"O produto veio com o Lula molusco com a cabeça quebrada e não veio as rochas, apenas a casa do personagem citado está em bom estado, gostaria de trocar ou reembolso!",0.0,2,1,1
37593,"bem afiada, cortou bem ",1.0,4,1,1
30233,gostei muito no futuro próximo comprarei mais produtos ....,1.0,5,1,1
88911,Gostei do produto,1.0,4,1,1
7567,No quesito entrega vocês estão de parabéns. Chegou muito antes do previsto. Pena que o tablet trava muito e o sistema usa muito do espaço interno que já não é lá essas coisas.,0.0,2,1,1
94005,"Produto muito bonito, muito bem embalado.",1.0,5,1,1
70868,Entrega antes do prazo. Produto excelente!!!,1.0,5,1,1
95857,produto dentro dos padrões solicitdo,,3,-1,1
63229,NAO QUERO AVALIAR,1.0,5,1,1
52261,bom recomendo 👍👍,1.0,5,1,1
48305,"Produto chegou bem antes do prazo porém está com defeito, já postei devolvendo.",0.0,1,1,1
14952,O produto veio errado e ainda não me retornaram para fazer a troca.,0.0,1,1,1
14463,Minha filha amou.,1.0,5,1,1
10528,muito obrigada,1.0,5,1,1
88533,"Produto conforme o anúncio, envio rápido e correto.",1.0,5,1,1
55468,Até agora nenhum retorno da loja. Enviei e mail mas não responderam.,0.0,1,1,1
49555,"Muito atraso na entrega de um produto simples e pequeno. Até hoje não recebi nem o produto, nem uma satisfação sobre o assunto.",0.0,1,1,1
1767,Mais agilidade na entrega,0.0,2,1,1
91589,"Os Patins são mais lindos ainda pessoalmente e dá pra vê que é de ótima qualidade o material, amei! A Loja entregou muito rápido, Parabéns e Obrigada! ",1.0,5,1,1
44935,A parte da capa onde fica os botões de volume e liga/desliga acionam mais de um botão ao mesmo tempo.,,3,-1,1
94173,eu vejo como positivo esse vendedor bom produto e entrga no tempo combinado por este motivo simplesmente recomendo,1.0,4,1,1
88909,a foto no site indicava uma unidade e nao um kit com duas delas. acabei recebendo 2 kits e tenho so 2 portas. um deles chegou entortado,0.0,1,1,1
19340,Produto entregue no prazo e o produto é excelente .,1.0,5,1,1
64448,"PRAZO DE ENTREGA OK
QUALIDADE DO PRODUTO OK

FALTOU APENAS A FICHA DO ""DEALER"" A QUAL CONSTA NA CAIXA E NÃO CHEGOU.",1.0,4,1,1
47151,Recebi o produto muito antes da data estimada para a entrega.,1.0,4,1,1
21889,Muito bom!,1.0,5,1,1
36753,"Ótimo produto, ótima loja.",1.0,5,1,1
89046,produto perfeito e entrega super rápida,1.0,5,1,1
31338,A Entrega foi feita antes do prazo e recebi o produto todo ok. A cor não é muito bonita pessoalmente foi só o que eu não gostei no produto. Mas o material é bom e veio na medida correta.,1.0,4,1,1
50144,"Muito boa , entregue dentro do.prazo!",1.0,4,1,1
6644,"Gostei do kit, acho interessante fazer outros kit's da mesma marca com outros produtos, assim poderei analisar os kit's para ter sempre o produto em casa evitando assim gastos com o fretes. ",1.0,5,1,1
32020,O tecido é grosso parece mais organza 1ue cetim....nao gostei o acabamento também é muito ruim.,0.0,1,1,1
93771,"No dia 04/05/2018 Comprei no site das lannister com o frete um pouco maior, porém o prazo de entrega menor entre 17 e 23 dias.
Pois é presente que que eu entregaria no dia 01/06/2018; ainda não rece",,3,-1,1
29065,Produto dá de 10 a 0 em relação as porcarias oferecidas por outros sites e que não tem efeito nenhum. Esse é natural e 100% confiavel.,1.0,5,1,1
26055,Oieee Boa tarde recebi um produto que não pedi acho que veio por engano por favor veja como devo proceder com a troca o quanto anteriormente produto que deveria vim seria uma taça de sobremesa chamada,0.0,2,1,1
30967,Achei um pouco fragil,1.0,4,1,1
21553,"Comprei o produto. por espelho decorativo,e não acrílico e pelas fotos da imagem ilustrativa,os círculos pareciam maiores,mas como não continha esta informação na descrição não posso reclamar por isso",0.0,2,1,1
52258,"COMPREI DOIS E RECEBI APENAS 1, SEGUNDO O ATENDENTE A SEGUNDA ESTAR PARA CHEGAR ATÉ AGORA NÃO RECEBI NENHUM RASTREAMENTO DA SEGUNDA GRELHA",0.0,1,1,1
76603,"Comprei nesta loja, mas estou decepcionada com está loja, pois mandei vários e-mails, porque comprei o cobertor no tamanho King e mandaram no tamanho casal, estou decepcionada com esta compra.",0.0,1,1,1
88582,Como eu estava precisando das tintas fiz o pedido só achei o prazo da entrega um pouco longo tirando isso esta tudo ok muito bom,1.0,5,1,1
56808,"Produto foi entregue com defeito com a pulseira cortada .... mas não consigo contato adequado, não tenho retorno",0.0,1,1,1
62397,.,1.0,4,1,1
52286,"Prático e fácil de usar, além de fácil de lavar. Recomendo. ",1.0,4,1,1
75616,"O perfume que recebi tem embalagem diferente da foto do site e também diferente de um perfume igual que tenho em casa. O cheiro é bem parecido, mas não igual. Enfim, parece falsificado.",0.0,2,1,1
99595,"Loja melhor só na Irineu, vc não sabe nem eu",1.0,5,1,1
36129,O que eu tenho de dizer ...vcs estão de Parabéns!! Muito Obrigado !!!,1.0,5,1,1
1704,Segunda compra na loja. Estou muito satisfeito. Produtos chegaram rapidamente. Recomendo.,1.0,5,1,1
30484,Gosto de comprar com vcs. Mas nunca recebi cupons de desconto!!!!,1.0,5,1,1
72119,excelente atendimento,1.0,5,1,1
19610,Eles nao tem culpa o endereço e?rado,,3,-1,1
93492,tive alguma dificuldade no reconhecimento do cartucho pela impressora mas depois de três tentativas parece que normaiizou,1.0,4,1,1
14387,Boa noite estou com dificuldade de arrumar o RELÓGIO da pulseira e nem conectar o bluetooth,1.0,5,1,1
95439,Muito bom,1.0,5,1,1
55520,"Produto foi entregue dentro do prazo, superando minhas expectativas. Veio bem embalado e sem avarias, apesar da caixa amassada.",1.0,5,1,1
20479,"Site dos correios informa que foi entregue, porém o produto não foi entregue.",0.0,1,1,1
7506,"Meu gatinho adorou, pode ser cama ou toca, é macia e bonita! ",1.0,5,1,1
54012,"O relógio que eu comprei da marca Oakley é falso, estou no aguardo de uma solução para meu problema que me agrade.",0.0,2,1,1
11108,"O produto é de qualidade e de custo benefício
",1.0,5,1,1
92065,gostaria de saber quando chega o meu produto ?,0.0,2,1,1
17154,"Comprei duas cadeiras com o pé cromado, porém vieram 2 com os pés de plásticos..",,3,-1,1
62542,bom produto,,3,-1,1
81577,Fui muito bem atendida estou satisfeita,1.0,5,1,1
49990,"Não me deram nenhuma satisfação,no rastreamento parou em São Gonçalo e não foi mais adiante.
",0.0,1,1,1
3373,Muito bom o produto,1.0,5,1,1
16194,Produto esta de acordo com o que foi divulgado.,1.0,5,1,1
45205,Entrega rápida,1.0,4,1,1
41642,"O produto chegou muito antes do esperado, maravilhoso. ",1.0,5,1,1
49374,a entrega foi rapida,,3,-1,1
22834,A entrega atrasou pois não percebi que o endereço que constava no cadastro estava incorreto. A loja responsável informou que vai reenviar. Estou aguardando a nova tentativa de entrega.,1.0,5,1,1
6959,Entregue antes do prazo estipulado e em perfeitas condições.,1.0,5,1,1
92379,"A entrega ia ser rapida, mas parou nos correios da minha regiao, sem previsao de entrega ainda",,3,-1,1
85290,"Gostaria de ter falado com atendente para esclarecer uma duvida . só dava a secretaria eletrônica, enviei e-mail mas nada o objeto chegou e nem resposta tive.

 ",,3,-1,1
36151,"Chegou antes do prazo estipulado! 
Super recomendo, o relógio é ótimo era para presente de dia dos pais meu esposo adorou! Além de leve é mais bonito que na foto 😊 ",1.0,5,1,1
95672,Entrega muito demorada. Ainda não recebi o produto,0.0,1,1,1
70199,Paguei e não recebi o produto e não sei como recuperar o valor.,0.0,1,1,1
70985,"No site havia o produto, mas depois constou indisponível. Isso gerou um pouco de irritação pois já havia pago e foi a primeira vez que tive este problema com a lannister. Espero não acontecer novamen",,3,-1,1
5383,"Vei junto com o controle 4 pilhas AA, mas o controle usa duas pilhas maiores.",1.0,5,1,1
24162," Bom
",1.0,5,1,1
21588,"Ótimo produto, chegou na embalagem bem lacrada e antes do tempo previsto de entrega. ",1.0,4,1,1
83384,Muito bom comprar na stark,1.0,4,1,1
14242,"Não foi entregue o produto que solicitei. Entrei em contato com as lannister e estou aguardando retorno para a troca pelo produto correto, porém ainda não tive retorno das lannister e já está fora d",0.0,1,1,1
45942,"Dormir com o aparelho meu dentes sangrou,estão dolorido,não recomendo.",0.0,1,1,1
46085,"RECOMENDO , PORÉM FIZ O PEDIDO DE TRES LUMINARIAS E ATE HOJE CHEGARAM SOMENTE 2",1.0,5,1,1
16355,"Atraso na entrega(a qual já possuía um prazo mais do que suficiente), logo não consigo avaliá-lo positivamente, muito menos opinar a favor da transportadora.",0.0,2,1,1
60540,ainda não recebi o produto.,0.0,2,1,1
4808,Comprei 3 unidades do produto vieram 2 unidades que não corresponde com o que comprei. Devido a minha opinião é negativa com relação a esse vendedor pois não não cumpriu com o prometido na venda.,0.0,1,1,1
86730,A capinha não deu certo pro bebe conforto da Cosco. Não recomendo.,0.0,2,1,1
73195,"O produto chegou muito rápido e como o descrito no anúncio, precisei fazer algumas mudanças devido as necessidades específicas do meu serviço.. ",1.0,5,1,1
72569,"O produto foi o correto, chegou no prazo, entretanto houve muita confusão no rastreamento do produto, passando muitos dias para atualizar uma localização que fisicamente dura 90 minutos. ",,3,-1,1
56642,Gostei muito do produto.,1.0,5,1,1
24279,Recebi um produto diferente do que pedi e não estou sendo assistida quanto a isso !,0.0,1,1,1
45480,Muito bom,1.0,5,1,1
66636,"Um relógio : bonito, prático, é muito fácil no manuseio. Obrigada ",1.0,5,1,1
22794,Entrega rapida,1.0,5,1,1
95059,Produto mto bom,1.0,5,1,1
33516,Mt bem embalado.,1.0,5,1,1
87802,"Achei o prazo bom, mas o frete o olho da cara, mas caro que o produto.",,3,-1,1
96339,"quero devolver oproduto,po no mesmo dia que comprei cancelei a compra antes de emitir a nota fiscal,como manda o site então gostaria de estar devolvendo",,3,-1,1
57083,"Cancelei o pedido e o mesmo não foi estornado. 
Obs: Já fazem 3 meses",0.0,1,1,1
63869,Recebi bem antes do prazo e o produto chegou perfeito! Recomendo.,1.0,5,1,1
49317,"O produto até foi entregue dentro do prazo mas, demorou muito, e recebi o produto com a cor errada e com o visor arranhado.
O produto (fone) de boa qualidade.",,3,-1,1
91330,Não recebi,0.0,1,1,1
9985,Ainda não recebi,0.0,1,1,1
44051,"recomendo.... demorou um pouco mais ta bom. entregaram direitinho.
",1.0,5,1,1
48626,Produto dentro das expectativas. Bonito e de qualidade.,1.0,5,1,1
9631,Rapidez no serviço prestado.,1.0,4,1,1
12848,Dentro do combinado,1.0,5,1,1
52204,"Veio tudo certinho, eu super recomendo esse produto.chegou antes do previsto.
",1.0,5,1,1
57936,"Só posso falar sobre o produto quando começar a usá-lo, o que ocorrerá apenas no próximo final de semana, mas até o momento posso dizer que o atendimento foi ""top"" !",1.0,5,1,1
12474,Produto estava com prazo de entrega para 13/04. No momento está em dois dias de atraso. Necessário verificar o porquê do atraso e regularizar entrega. Presente de aniversário pendente de entrega.,0.0,2,1,1
10275,"Passados 50 dias, não recebi o produto.",0.0,1,1,1
18665,Veio todos os produtos no prazo certo mais veio uma peça Errada...,,3,-1,1
7698,Produto bom e entregue super rápido...,1.0,5,1,1
76612,BOM,1.0,5,1,1
36460,Comprei o produto e está com 5 dias de atraso na entrega e ninguém entra em contato para explicar. Eu não consigo contato com a loja.,0.0,1,1,1
9623,"Comprei 6 kits de ""Cloreto de Magnésio PA 240 Capsulas de 500 mg"". Chegaram apenas 2 kits em embalagens distintas. Restam chegar ainda 4 kits. Já reclamei no site, mas ainda não obtive resposta.",0.0,1,1,1
65830,chegou no prazo esperado,1.0,5,1,1
57663,muito bom chegou antes do prazo produto de qualidade e frete em conta.,1.0,5,1,1
84329,Produto em perfeitas condições.,1.0,5,1,1
37169,Não estou entendendo?! Por q desta avaliação?? Cadê meu produto??,0.0,2,1,1
23412,Produto com etiqueta de autenticidade.,1.0,4,1,1
5548,Otimo produto e de fácil substituição no aparelho. Demorei nem 2 min para troca,1.0,5,1,1
32563,"Eu comprei e nao funcionou
",0.0,1,1,1
87236,Parabens,1.0,5,1,1
43001,"Realizei a compra de 2 relógios só recebi um, não me foi informado que seriam entregues separados, ao entrar em contato a loja falou que ainda iriam postar o outro, preciso do rastreamento c garantia.",,3,-1,1
7951,É presente pro mor só saberei se veio correto qndo ele pegar comigo.mas a entrega foi péssima os Correios não entregou tive que ir buscar sempre compro site e tdos entregar certo mas por a targaryen nao,0.0,2,1,1
75710,ÓTIMO PRODUTO,1.0,5,1,1
58775,Não recomendo esse produto. Ele é simplesmente péssimo ou veio com defeito. É muito frágil e o som é muito baixo. Não gostei.,0.0,1,1,1
83591,estou satisfeito,1.0,4,1,1
57199,Muito Bom,1.0,5,1,1
39995,Só recebi os 2 ventiladores. Não recebi pendente meia lua.,0.0,2,1,1
64136,Só achei pequeno mais no mais é o q diz a descrição mesmo,,3,-1,1
42641,N,1.0,5,1,1
15433,"Boa Tarde.

Produto entregue ANTES do prazo estipulado, com qualidade e segurança.",1.0,5,1,1
48780,"Entrega rapidíssima!!!!
O produto vou avaliar ainda.. olhei superficialmente.. parece otimo.. vamos ver quanto instalar!",1.0,4,1,1
66904,essa e a segunda fez que fiz compra e sempre fui bem atendido fico muito grato pelo atendimento abrigado.,1.0,5,1,1
4746,"Produto de ótima qualidade e entrega no prazo, recomendo.",1.0,4,1,1
2458,É um bom fornecedor. Nada a reclamar.,1.0,4,1,1
52491,tudo joia,1.0,5,1,1
59514,O produto me parece de ótima qualidade.,1.0,5,1,1
93447,O produto chegou em ótimo estado e chegou antes do prazo parabéns lojas lannister estou muito feliz com vcs,1.0,5,1,1
98553,"Péssimo parceiro para o stark trabalhar. Não entregou o produto, não respondeu as mensagens que deixei através do site do stark. Estou realmente decepcionada.",0.0,1,1,1
60026,"Errei ao não prestar atenção que era Eau de Toillet, mas o cheiro é maravilhoso pra quem ama perfume doce ",1.0,4,1,1
91968,Muito satisfeito .,1.0,5,1,1
25862,Uma vergonha comprar um produto e não o receber.,0.0,1,1,1
58180,Chegou antes do prazo...,1.0,5,1,1
42549,Otimo,1.0,5,1,1
96500,Produto de excelente qualidade muito bom,1.0,5,1,1
98377,"Recebi o produto muito bem embalado, e bem antes da data prevista. Estou satisfeito. Recomendo.",1.0,5,1,1
99990,"O produto não foi enviado com NF, não existe venda sem NF, com certeza fico no aguardo do envio da NF podendo ser por e-mail.",,3,-1,1
57000,adorei,1.0,5,1,1
8586,"Não fiquei totalmente satisfeita porque esse produto não foi entregue na minha residência, pois tive que me dirigir até o correio para retirar a mercadoria. ",1.0,4,1,1
76248,Produto muito bom de qualidade e entregou no prazo.,1.0,5,1,1
75116,BOM ATENDIMENTO,1.0,5,1,1
97751,"Desejo um gaveteiro maior e Rosa.kkkkkk
Tudo que comprei até o momento.MARAVILHOSO",1.0,5,1,1
60048,Entrega bem antes do prazo pedido pelo vendedor.,1.0,5,1,1
74866,Adorei e super recomendo,1.0,5,1,1
13390,"Não recebi nem ao menos, nenhuma notificação do destino do produto... É uma falta de respeito com o cliente.",0.0,1,1,1
34469,"O produto recebido apresenta alguns defeitos e de dupla fabricação, nada que comprometa o geral e precise ser devolvido.
A entrega foi dentro do prazo.",,3,-1,1
47888,"Estou muito decepcionada com o frete, o vendedor não tem culpa dos correios serem tao irresponsaveis! Demorou mais de 1 mes para chegar e no final tive que ir na agencia buscar! Pra que paguei frete? ",1.0,5,1,1
92163,"Produto entregue no prazo, material muito bom, já veio montado conforme descrição do produto no período da venda.",1.0,5,1,1
6861,"Na minha opinião, esse vendedor corresponde às expectativas do cliente. Eu recomendo, nota 10",1.0,5,1,1
9016,Comprei um produto que esteva anunciando uma coisa e o produto não corresponde ao anúncio,0.0,1,1,1
74270,"Os panos de pratos são lindos, só achei um pouco pequeno, mas é de qualidade.",1.0,4,1,1
33823,"amei tudo e chegou rápido,",1.0,5,1,1
14082,atendimento muito bom,1.0,5,1,1
47122,"Bolsa de muita qualidade, tamanho perfeito. Indico a todos",1.0,5,1,1
27347,otima,1.0,5,1,1
22301,Produto dentro da expectativa,1.0,4,1,1
82728,"costurada com linha escura na parte clara da cortina, muito feio, solicitei cancelamento, não recebi o código de postagem, favor enviar.",0.0,1,1,1
40544,kyjk,1.0,5,1,1
46251,"Ótima loja, entregou o produto corretamente antes do término do prazo.",1.0,5,1,1
